%time input output
0.016784 6.27691361291 -1.58619692778
0.016785 6.25242656336 -1.58583477093
0.016786 6.22787780488 -1.58543228853
0.016787 6.20326757977 -1.58498948457
0.016788 6.1785961309 -1.58450636341
0.016789 6.15386370179 -1.58398292982
0.01679 6.12907053653 -1.58341918896
0.016791 6.10421687982 -1.58281514641
0.016792 6.07930297695 -1.58217080813
0.016793 6.05432907381 -1.58148618046
0.016794 6.02929541689 -1.58076127017
0.016795 6.00420225326 -1.57999608442
0.016796 5.97904983058 -1.57919063075
0.016797 5.95383839708 -1.57834491712
0.016798 5.92856820161 -1.57745895187
0.016799 5.90323949356 -1.57653274375
0.0168 5.87785252292 -1.57556630189
0.016801 5.85240754026 -1.57455963584
0.016802 5.82690479669 -1.57351275553
0.016803 5.80134454392 -1.5724256713
0.016804 5.77572703422 -1.57129839387
0.016805 5.75005252043 -1.57013093436
0.016806 5.72432125595 -1.56892330431
0.016807 5.69853349472 -1.56767551563
0.016808 5.67268949127 -1.56638758063
0.016809 5.64678950066 -1.56505951203
0.01681 5.62083377852 -1.56369132293
0.016811 5.59482258102 -1.56228302684
0.016812 5.56875616488 -1.56083463765
0.016813 5.54263478737 -1.55934616967
0.016814 5.51645870628 -1.55781763758
0.016815 5.49022817998 -1.55624905647
0.016816 5.46394346734 -1.55464044181
0.016817 5.43760482779 -1.55299180949
0.016818 5.41121252127 -1.55130317578
0.016819 5.38476680827 -1.54957455735
0.01682 5.35826794979 -1.54780597124
0.016821 5.33171620737 -1.54599743493
0.016822 5.30511184307 -1.54414896625
0.016823 5.27845511945 -1.54226058346
0.016824 5.25174629961 -1.54033230519
0.016825 5.22498564716 -1.53836415047
0.016826 5.19817342621 -1.53635613872
0.016827 5.17130990138 -1.53430828977
0.016828 5.14439533782 -1.53222062382
0.016829 5.11743000114 -1.53009316149
0.01683 5.0904141575 -1.52792592376
0.016831 5.06334807353 -1.52571893203
0.016832 5.03623201636 -1.52347220808
0.016833 5.00906625361 -1.52118577408
0.016834 4.98185105339 -1.51885965261
0.016835 4.95458668432 -1.51649386661
0.016836 4.92727341548 -1.51408843944
0.016837 4.89991151644 -1.51164339483
0.016838 4.87250125725 -1.50915875693
0.016839 4.84504290844 -1.50663455024
0.01684 4.81753674102 -1.50407079969
0.016841 4.78998302645 -1.50146753058
0.016842 4.76238203668 -1.4988247686
0.016843 4.73473404412 -1.49614253983
0.016844 4.70703932165 -1.49342087075
0.016845 4.67929814261 -1.49065978822
0.016846 4.65151078077 -1.48785931949
0.016847 4.62367751041 -1.48501949219
0.016848 4.59579860621 -1.48214033437
0.016849 4.56787434334 -1.47922187442
0.01685 4.5399049974 -1.47626414116
0.016851 4.51189084442 -1.47326716378
0.016852 4.4838321609 -1.47023097186
0.016853 4.45572922377 -1.46715559536
0.016854 4.42758231039 -1.46404106463
0.016855 4.39939169856 -1.46088741042
0.016856 4.37115766651 -1.45769466385
0.016857 4.3428804929 -1.45446285643
0.016858 4.31456045681 -1.45119202006
0.016859 4.28619783775 -1.44788218703
0.01686 4.25779291565 -1.44453338998
0.016861 4.22934597085 -1.44114566199
0.016862 4.20085728412 -1.43771903647
0.016863 4.17232713662 -1.43425354727
0.016864 4.14375580993 -1.43074922856
0.016865 4.11514358605 -1.42720611495
0.016866 4.08649074736 -1.4236242414
0.016867 4.05779757666 -1.42000364326
0.016868 4.02906435714 -1.41634435627
0.016869 4.00029137237 -1.41264641655
0.01687 3.97147890635 -1.40890986058
0.016871 3.94262724343 -1.40513472525
0.016872 3.91373666837 -1.40132104781
0.016873 3.88480746631 -1.39746886591
0.016874 3.85583992277 -1.39357821757
0.016875 3.82683432365 -1.38964914118
0.016876 3.79779095522 -1.38568167553
0.016877 3.76871010412 -1.38167585977
0.016878 3.73959205738 -1.37763173343
0.016879 3.71043710237 -1.37354933643
0.01688 3.68124552685 -1.36942870907
0.016881 3.65201761892 -1.365269892
0.016882 3.62275366705 -1.36107292629
0.016883 3.59345396006 -1.35683785334
0.016884 3.56411878713 -1.35256471496
0.016885 3.53474843779 -1.34825355332
0.016886 3.50534320191 -1.34390441097
0.016887 3.47590336971 -1.33951733083
0.016888 3.44642923175 -1.33509235621
0.016889 3.41692107891 -1.33062953078
0.01689 3.38737920245 -1.32612889858
0.016891 3.35780389393 -1.32159050404
0.016892 3.32819544523 -1.31701439193
0.016893 3.29855414859 -1.31240060744
0.016894 3.26888029655 -1.30774919609
0.016895 3.23917418198 -1.3030602038
0.016896 3.20943609807 -1.29833367683
0.016897 3.17966633832 -1.29356966185
0.016898 3.14986519655 -1.28876820586
0.016899 3.12003296688 -1.28392935626
0.0169 3.09016994375 -1.27905316081
0.016901 3.06027642188 -1.27413966763
0.016902 3.03035269633 -1.26918892521
0.016903 3.00039906241 -1.26420098242
0.016904 2.97041581577 -1.25917588849
0.016905 2.94040325232 -1.254113693
0.016906 2.91036166828 -1.24901444594
0.016907 2.88029136015 -1.24387819761
0.016908 2.8501926247 -1.23870499871
0.016909 2.820065759 -1.23349490031
0.01691 2.78991106039 -1.22824795382
0.016911 2.75972882649 -1.22296421103
0.016912 2.72951935517 -1.21764372408
0.016913 2.6992829446 -1.21228654549
0.016914 2.6690198932 -1.20689272813
0.016915 2.63873049965 -1.20146232524
0.016916 2.6084150629 -1.19599539041
0.016917 2.57807388214 -1.19049197759
0.016918 2.54770725683 -1.18495214111
0.016919 2.51731548669 -1.17937593564
0.01692 2.48689887165 -1.17376341621
0.016921 2.45645771192 -1.16811463823
0.016922 2.42599230795 -1.16242965743
0.016923 2.39550296042 -1.15670852993
0.016924 2.36498997024 -1.15095131219
0.016925 2.33445363856 -1.14515806104
0.016926 2.30389426677 -1.13932883365
0.016927 2.27331215647 -1.13346368755
0.016928 2.24270760949 -1.12756268063
0.016929 2.2120809279 -1.12162587114
0.01693 2.18143241397 -1.11565331766
0.016931 2.15076237017 -1.10964507914
0.016932 2.12007109922 -1.10360121488
0.016933 2.08935890402 -1.09752178453
0.016934 2.0586260877 -1.09140684809
0.016935 2.02787295357 -1.08525646592
0.016936 1.99709980514 -1.07907069871
0.016937 1.96630694615 -1.07284960752
0.016938 1.93549468051 -1.06659325375
0.016939 1.90466331231 -1.06030169914
0.01694 1.87381314586 -1.0539750058
0.016941 1.84294448562 -1.04761323615
0.016942 1.81205763627 -1.04121645299
0.016943 1.78115290264 -1.03478471946
0.016944 1.75023058975 -1.02831809903
0.016945 1.71929100279 -1.02181665552
0.016946 1.68833444713 -1.01528045311
0.016947 1.65736122828 -1.00870955629
0.016948 1.62637165195 -1.00210402993
0.016949 1.59536602398 -0.995463939215
0.01695 1.5643446504 -0.988789349683
0.016951 1.53330783737 -0.982080327209
0.016952 1.50225589121 -0.975336938007
0.016953 1.47118911839 -0.968559248633
0.016954 1.44010782552 -0.961747325979
0.016955 1.40901231938 -0.954901237277
0.016956 1.37790290685 -0.948021050095
0.016957 1.34677989497 -0.941106832337
0.016958 1.31564359092 -0.934158652243
0.016959 1.284494302 -0.92717657839
0.01696 1.25333233564 -0.920160679688
0.016961 1.2221579994 -0.913111025381
0.016962 1.19097160095 -0.906027685046
0.016963 1.15977344809 -0.898910728592
0.016964 1.12856384873 -0.891760226262
0.016965 1.09734311091 -0.884576248628
0.016966 1.06611154275 -0.877358866593
0.016967 1.0348694525 -0.870108151389
0.016968 1.00361714851 -0.862824174578
0.016969 0.972354939224 -0.85550700805
0.01697 0.941083133185 -0.848156724023
0.016971 0.909802039036 -0.840773395041
0.016972 0.878511965507 -0.833357093974
0.016973 0.847213221421 -0.825907894018
0.016974 0.815906115682 -0.818425868694
0.016975 0.784590957278 -0.810911091846
0.016976 0.753268055279 -0.803363637643
0.016977 0.721937718829 -0.795783580574
0.016978 0.690600257144 -0.788170995451
0.016979 0.659255979514 -0.780525957409
0.01698 0.627905195293 -0.772848541899
0.016981 0.596548213902 -0.765138824696
0.016982 0.56518534482 -0.757396881891
0.016983 0.533816897588 -0.749622789894
0.016984 0.502443181798 -0.741816625431
0.016985 0.471064507097 -0.733978465548
0.016986 0.439681183179 -0.726108387602
0.016987 0.408293519785 -0.718206469269
0.016988 0.376901826699 -0.710272788538
0.016989 0.345506413745 -0.70230742371
0.01699 0.314107590781 -0.694310453401
0.016991 0.282705667703 -0.686281956537
0.016992 0.251300954433 -0.678222012356
0.016993 0.219893760925 -0.670130700408
0.016994 0.188484397154 -0.662008100549
0.016995 0.157073173118 -0.653854292947
0.016996 0.125660398834 -0.645669358076
0.016997 0.0942463843315 -0.637453376719
0.016998 0.0628314396555 -0.629206429963
0.016999 0.0314158748589 -0.620928599203
0.017 -1.47081412025e-14 -0.612619966138
0.017001 -0.0314158748588 -0.604280612771
0.017002 -0.0628314396555 -0.595910621407
0.017003 -0.0942463843314 -0.587510074655
0.017004 -0.125660398834 -0.579079055425
0.017005 -0.157073173118 -0.570617646928
0.017006 -0.188484397154 -0.562125932675
0.017007 -0.219893760925 -0.553603996474
0.017008 -0.251300954433 -0.545051922435
0.017009 -0.282705667703 -0.536469794963
0.01701 -0.314107590781 -0.52785769876
0.017011 -0.345506413745 -0.519215718824
0.017012 -0.376901826699 -0.510543940448
0.017013 -0.408293519785 -0.501842449218
0.017014 -0.439681183179 -0.493111331015
0.017015 -0.471064507096 -0.484350672012
0.017016 -0.502443181798 -0.475560558673
0.017017 -0.533816897588 -0.466741077752
0.017018 -0.56518534482 -0.457892316294
0.017019 -0.596548213902 -0.449014361633
0.01702 -0.627905195293 -0.440107301391
0.017021 -0.659255979514 -0.431171223478
0.017022 -0.690600257144 -0.422206216087
0.017023 -0.721937718829 -0.413212367701
0.017024 -0.753268055279 -0.404189767085
0.017025 -0.784590957278 -0.395138503288
0.017026 -0.815906115682 -0.386058665643
0.017027 -0.847213221421 -0.376950343764
0.017028 -0.878511965507 -0.367813627547
0.017029 -0.909802039036 -0.358648607167
0.01703 -0.941083133185 -0.34945537308
0.017031 -0.972354939224 -0.340234016018
0.017032 -1.00361714851 -0.330984626993
0.017033 -1.0348694525 -0.321707297293
0.017034 -1.06611154275 -0.312402118481
0.017035 -1.09734311091 -0.303069182395
0.017036 -1.12856384873 -0.293708581149
0.017037 -1.15977344809 -0.284320407126
0.017038 -1.19097160095 -0.274904752985
0.017039 -1.2221579994 -0.265461711655
0.01704 -1.25333233564 -0.255991376333
0.017041 -1.284494302 -0.24649384049
0.017042 -1.31564359092 -0.236969197861
0.017043 -1.34677989497 -0.227417542451
0.017044 -1.37790290685 -0.217838968531
0.017045 -1.40901231938 -0.208233570638
0.017046 -1.44010782552 -0.198601443573
0.017047 -1.47118911839 -0.188942682401
0.017048 -1.50225589121 -0.17925738245
0.017049 -1.53330783737 -0.169545639311
0.01705 -1.5643446504 -0.159807548834
0.017051 -1.59536602398 -0.15004320713
0.017052 -1.62637165195 -0.140252710569
0.017053 -1.65736122828 -0.130436155781
0.017054 -1.68833444713 -0.120593639649
0.017055 -1.71929100279 -0.110725259316
0.017056 -1.75023058975 -0.100831112179
0.017057 -1.78115290264 -0.0909112958884
0.017058 -1.81205763627 -0.0809659083495
